id	Ajap1	Ajap10	Ajap100	Ajap101	Ajap102	Ajap103	Ajap104	Ajap105	Ajap106	Ajap107	Ajap108	Ajap11	Ajap12	Ajap14	Ajap15	Ajap16	Ajap17	Ajap18	Ajap2	Ajap20	Ajap21	Ajap22	Ajap23	Ajap24	Ajap25	Ajap26	Ajap27	Ajap28	Ajap29	Ajap3	Ajap30	Ajap31	Ajap32	Ajap33	Ajap34	Ajap35	Ajap36	Ajap37	Ajap38	Ajap39	Ajap40	Ajap41	Ajap42	Ajap43	Ajap44	Ajap45	Ajap46	Ajap49	Ajap5	Ajap50	Ajap51	Ajap52	Ajap53	Ajap54	Ajap55	Ajap56	Ajap57	Ajap58	Ajap59	Ajap60	Ajap61	Ajap63	Ajap64	Ajap65	Ajap66	Ajap67	Ajap68	Ajap69	Ajap70	Ajap72	Ajap73	Ajap74	Ajap75	Ajap77	Ajap78	Ajap8	Ajap80	Ajap81	Ajap82	Ajap83	Ajap84	Ajap85	Ajap86	Ajap89	Ajap9	Ajap90	Ajap91	Ajap92	Ajap93	Ajap94	Ajap95	Ajap96	Ajap97	Ajap98	Ajap99
	1	7	8	3	16	7	10	5	1	3	10	8	9	4	5	10	6	9	2	5	11	10	7	4	9	12	13	8	9	3	5	5	11	4	10	14	8	5	5	1	7	5	1	12	12	5	4	9	4	7	1	4	12	15	13	8	2	14	2	8	14	5	7	4	11	11	1	9	6	1	15	10	2	15	4	5	1	1	11	1	2	1	2	5	6	11	2	3	7	5	3	16	9	5	9
	0	20.2	3.4	21	3.8	20.2	5.3	78.8	68.8	10.7	44.1	5	40.2	9.9	15.7	0	0	22.9	0	43.3	0	62.2	0	9.4	37	0	0	0	0	4.7	1.1	43.3	10.5	47	44.1	18.9	81.5	43.3	43.3	18.7	10.4	22	34	29.7	27.4	43.3	23.5	48.2	0	61.1	34.6	9.9	15.9	0	1.2	35.6	54.4	0	21	62.9	26.6	0	9.7	9.9	37.2	10.5	103.1	59.4	8	57.8	0	87.5	13.8	0	9.9	43.3	103.1	30.7	37.2	55.6	21.6	103.1	0.6	5.2	4.3	7.6	37.2	0	20.2	24.3	38.8	0	45.1	24.3	58.8
1	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	na	A:A	na	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	na	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	na	A:B	na	A:B	A:B	na	A:B	A:B	A:B	A:A	na	A:B	A:A	A:B	A:A	A:A	A:A	na	A:B	A:B	A:B	A:B	na	na	na	na	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A
2	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A	A:B	A:B	na	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	na	na	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	na	A:A	na	A:A	A:A	A:A	A:A	na	na	na	A:A	na	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A
3	A:B	A:B	A:B	A:A	A:B	na	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	na	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	na	A:A	A:B	A:A	A:A	A:A	A:A	na	A:A	A:A	na	A:A	na	na	A:A	A:B	A:A	A:B	A:A	A:B	na	A:A	na	A:A	A:B	na	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B
4	na	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	na	A:A	na	A:A	A:B	A:A	A:B	A:B	A:B	A:A	na	A:A	A:A	A:A	A:A	na	A:A	A:B	A:B	A:A	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B
5	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	na	A:B	na	A:B	A:B	A:B	A:B	A:B	A:B	A:A	na	A:A	A:A	A:B	na	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	na	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B
6	A:B	A:B	A:A	A:B	A:A	na	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	na	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	na	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	na	na	na	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	na	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	na	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A
7	A:B	A:B	A:B	A:A	A:A	na	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	na	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	na	na	A:B	A:B	A:B	A:B	na	A:B	A:B	A:B	A:B	na	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	na	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	na	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B
8	A:B	A:B	A:A	A:A	A:B	na	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	na	A:A	A:A	A:A	A:B	A:B	A:B	A:B	na	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	na	A:A	na	na	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	na	A:B	A:A	na	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	na	A:A	A:B	A:A
